,WARRANTY,
Included Components,ADDITIONAL INCLUDED SOFTWARE,Other Features
Screen Size,DISPLAY,Display Size
Maximum Display Resolution,DISPLAY,Display Resolution
,DISPLAY,HD
,DISPLAY,Display Type
,WEBCAM,Built-in Webcam
,CONNECTIVITY,Memory Card Reader
Number of USB 2.0 Ports,CONNECTIVITY,USB
,CONNECTIVITY,USB
,CONNECTIVITY,Headphone Jack
,CONNECTIVITY,Bluetooth
,CONNECTIVITY,HDMI
,CONNECTIVITY,Microphone Jack
,INPUT DEVICES,Keyboard
,STORAGE,Reading speed
,STORAGE,Storage Interface
Hard Drive Size,STORAGE,Hard Drive
Brand,GENERAL,Brand
Series,GENERAL,Model Name
Item model number,GENERAL,Part Number
RAM Size,MEMORY,System Memory
,MEMORY,Memory Speed
,MEMORY,Memory Detail
,SYSTEM FEATURES,Cache Memory
Processor Speed,SYSTEM FEATURES,Processor Frequency
Operating System,SYSTEM FEATURES,Operating System
Processor Type,SYSTEM FEATURES,Processor Model
,SYSTEM FEATURES,Processor Name
,SYSTEM FEATURES,Processor Brand
,SALES PACKAGE,In The Box
,NETWORK,Ethernet
Wireless Type,NETWORK,Wireless
,OPTICAL DRIVE,Drive Type
Item Weight,DIMENSIONS,Weight
Item Height,DIMENSIONS,Height
Item Width,DIMENSIONS,Width
,DIMENSIONS,Depth
,GRAPHICS,Dedicated Graphic Memory Type
Graphics Coprocessor,GRAPHICS,Integrated Graphic Processor
,GRAPHICS,Dedicated Graphic Memory
,GRAPHICS,Dedicated Graphic Processor
,AUDIO,Built-in Microphone
,AUDIO,Other Audio features
,AUDIO,Speaker Output
