Warranty Period,WARRANTY,
Included Software,ADDITIONAL INCLUDED SOFTWARE,Other Features
Screen Size,DISPLAY,Display Size
Resolution,DISPLAY,Display Resolution
,DISPLAY,HD
Screen Type,DISPLAY,Display Type
Display Type,DISPLAY,Display Type
Webcam,WEBCAM,Built-in Webcam
Multi Card Slot,CONNECTIVITY,Memory Card Reader
USB 3.0 Ports,CONNECTIVITY,USB
USB 2.0 Ports,CONNECTIVITY,USB
Other Ports,CONNECTIVITY,Headphone Jack
BlueTooth,CONNECTIVITY,Bluetooth
Bluetooth,CONNECTIVITY,Bluetooth
HDMI Ports,CONNECTIVITY,HDMI
Mic In,CONNECTIVITY,Microphone Jack
Keyboard,INPUT DEVICES,Keyboard
RPM,STORAGE,Reading speed
Hardware Interface,STORAGE,Storage Interface
Hard Disk Capacity,STORAGE,Hard Drive
Brand,GENERAL,Brand
Model,GENERAL,Model Name
Model Series,GENERAL,Part Number
RAM,MEMORY,System Memory
,MEMORY,Memory Speed
,MEMORY,Memory Detail
Cache,SYSTEM FEATURES,Cache Memory
Clock Speed,SYSTEM FEATURES,Processor Frequency
Operating System,SYSTEM FEATURES,Operating System
Processor Variant,SYSTEM FEATURES,Processor Model
Processor Name,SYSTEM FEATURES,Processor Name
Processor Brand,SYSTEM FEATURES,Processor Brand
Box Contents,SALES PACKAGE,In The Box
Ethernet,NETWORK,Ethernet
Wireless LAN,NETWORK,Wireless
Optical Drive,OPTICAL DRIVE,Drive Type
Weight,DIMENSIONS,Weight
W x D x H,DIMENSIONS,Height
W x D x H,DIMENSIONS,Width
W x D x H,DIMENSIONS,Depth
Dedicated Graphics Memory Type,GRAPHICS,Dedicated Graphic Memory Type
,GRAPHICS,Dedicated Graphic Memory
Graphic Processor,GRAPHICS,Dedicated Graphic Processor
Internal Mic,AUDIO,Built-in Microphone
Sound Effect,AUDIO,Other Audio features
Sound Effect,AUDIO,Speaker Output
