Brand,GENERAL FEATURES,Brand
Model,GENERAL FEATURES,Model ID
Model Name,GENERAL FEATURES,Model Name
Item Weight,DIMENSIONS,Weight
Product Dimensions,DIMENSIONS,Size
Memory Storage Capacity,MEMORY AND STORAGE,Internal
Operating System,PLATFORM,OS
Additional Features,OTHER FEATURES,Additional Features
Included Components,GENERAL FEATURES,In the Box
Display Resolution Maximum,DISPLAY,Resolution
Battery Power,BATTERY,Type
Connectivity technologies,INTERNET & CONNECTIVITY,Wifi
Device interface - primary,GENERAL FEATURES,Touch Screen
OS,PLATFORM,OS
Item model number,GENERAL FEATURES,Model ID
GPS,INTERNET & CONNECTIVITY,GPRS
Weight,DIMENSIONS,Weight
Colour,GENERAL FEATURES,Color
Whats in the box,GENERAL FEATURES,In the Box
Form factor,GENERAL FEATURES,Touch Screen
Special features,OTHER FEATURES,Additional Features
Connector Type,INTERNET & CONNECTIVITY,Wifi
RAM Size,MEMORY,RAM
Supports Bluetooth Technology,CONNECTIVITY,Bluetooth
Item Height,DIMENSIONS,Height
Item Width,DIMENSIONS,Width
Screen Size,DISPLAY,Size
Notebook Display Technology,DISPLAY,Screen Type
Maximum Display Resolution,DISPLAY,Resolution
Batteries:,BATTERY,Type
Item model number,GENERAL FEATURES,Model ID
Processor Brand,Processor,Brand
Processor Type,Processor,Variant
Processor Speed,Processor,Clock Speed
Memory Technology,Memory,Memory Slots
Computer Memory Type,Memory,Memory Slots
Hard Drive Size,STORAGE,HDD Capacity
Hard Drive Interface,STORAGE,Hardware Interface
Audio Details,Audio,Speakers
Speaker Description,Audio,Speakers
Graphics Coprocessor,Graphics,Graphic Processor
Graphics Card Description,Graphics,Dedicated Graphics Memory Capacity
Wireless Type,CONNECTIVITY,Wireless LAN
Number of USB 3.0 Ports,Ports/Slots,USB Port
Number of Ethernet Ports,CONNECTIVITY,Ethernet
Optical Drive Type,Optical Disk Drive,Optical Drive
Hardware Platform,STORAGE,Hardware Interface
Average Battery Life (in hours),Power,Battery Cell
Included Components,In the Box,Sales Package
