Brand,GENERAL FEATURES,Brand
Model,GENERAL FEATURES,Model ID
Model Name,GENERAL FEATURES,Model Name
Item Weight,DIMENSIONS,Weight
Product Dimensions,DIMENSIONS,Size
Memory Storage Capacity,MEMORY AND STORAGE,Internal
Operating System,PLATFORM,OS
Additional Features,OTHER FEATURES,Additional Features
Included Components,GENERAL FEATURES,In the Box
Display Resolution Maximum,DISPLAY,Resolution
Battery Power,BATTERY,Type
Connectivity technologies,INTERNET & CONNECTIVITY,Wifi
Device interface - primary,GENERAL FEATURES,Touch Screen
OS,PLATFORM,OS
Item model number,GENERAL FEATURES,Model ID
GPS,INTERNET & CONNECTIVITY,GPRS
Weight,DIMENSIONS,Weight
Colour,GENERAL FEATURES,Handset Color
Whats in the box,GENERAL FEATURES,In the Box
Form factor,GENERAL FEATURES,Touch Screen
Special features,OTHER FEATURES,Additional Features
Connector Type,INTERNET & CONNECTIVITY,Wifi
